"pk_entity";"pk_birth";"date_birth";"pk_death";"date_death"
6485901;7502176;"(1681, 1, 1)";7739883;"(1681, 1, 1)"
6485884;7502159;"(1663, 1, 27)";7739866;"(1663, 1, 1)"
6485927;7502199;"(1676, 1, 1)";7739906;"(1676, 1, 1)"
6485933;7502205;"(1681, 2, 3)";7739912;"(1681, 1, 1)"
6485975;7502237;"(1671, 8, 12)";7739944;"(1671, 1, 1)"
6485986;7502247;"(1676, 1, 1)";7739954;"(1676, 1, 1)"
6486008;7502267;"(1677, 1, 1)";7739974;"(1677, 1, 1)"
6486017;7502275;"(1674, 1, 1)";7739982;"(1674, 1, 1)"
6485987;7502248;"(1674, 1, 1)";7739955;"(1674, 1, 1)"
6486020;7502278;"(1663, 7, 30)";7739985;"(1663, 1, 1)"
6486139;7502379;"(1670, 5, 1)";7740086;"(1670, 1, 1)"
6486022;7502280;"(1666, 2, 9)";7739987;"(1666, 1, 1)"
6486031;7502289;"(1676, 10, 10)";7739996;"(1676, 1, 1)"
6486042;7502294;"(1666, 4, 2)";7740001;"(1666, 1, 1)"
6486122;7502362;"(1676, 8, 30)";7740069;"(1676, 1, 1)"
6486071;7502319;"(1668, 1, 1)";7740026;"(1668, 1, 1)"
6486134;7502374;"(1678, 5, 22)";7740081;"(1678, 1, 1)"
6486095;7502341;"(1682, 3, 18)";7740048;"(1682, 1, 1)"
6486143;7502383;"(1669, 5, 23)";7740090;"(1669, 1, 1)"
6486156;7502394;"(1668, 1, 1)";7740101;"(1668, 1, 1)"
6486190;7502424;"(1681, 4, 7)";7740131;"(1681, 1, 1)"
6486245;7502462;"(1681, 1, 1)";7740169;"(1681, 1, 1)"
6486200;7502427;"(1676, 1, 1)";7740134;"(1676, 1, 1)"
6486247;7502464;"(1674, 1, 1)";7740171;"(1674, 1, 1)"
6486251;7502468;"(1672, 1, 1)";7740175;"(1672, 1, 1)"
6486259;7502474;"(1677, 9, 29)";7740181;"(1677, 1, 1)"
6486422;7502546;"(1675, 5, 28)";7740253;"(1675, 1, 1)"
6486347;7502507;"(1675, 1, 1)";7740214;"(1675, 1, 1)"
6486381;7502521;"(1676, 1, 1)";7740228;"(1676, 1, 1)"
6486382;7502522;"(1678, 1, 31)";7740229;"(1678, 1, 1)"
6486423;7502547;"(1676, 6, 15)";7740254;"(1676, 1, 1)"
6486430;7502553;"(1665, 11, 16)";7740260;"(1665, 1, 1)"
6486414;7502541;"(1677, 1, 1)";7740248;"(1677, 1, 1)"
6486416;7502542;"(1675, 1, 1)";7740249;"(1675, 1, 1)"
6486441;7502557;"(1670, 4, 28)";7740264;"(1670, 1, 1)"
6486442;7502558;"(1670, 1, 1)";7740265;"(1670, 1, 1)"
6486549;7502652;"(1678, 8, 8)";7740359;"(1678, 1, 1)"
6486552;7502655;"(1669, 1, 1)";7740362;"(1669, 1, 1)"
6486559;7502662;"(1683, 11, 5)";7740369;"(1683, 1, 1)"
6486583;7502683;"(1674, 1, 1)";7740390;"(1674, 1, 1)"
